"","name","sex","count","year","rank"
"943","John","M",9655,1880,1
"944","William","M",9532,1880,2
"1","Mary","F",7065,1880,3
"945","James","M",5927,1880,4
"946","Charles","M",5348,1880,5
"947","George","M",5126,1880,6
"948","Frank","M",3242,1880,7
"949","Joseph","M",2632,1880,8
"2","Anna","F",2604,1880,9
"950","Thomas","M",2534,1880,10
"951","Henry","M",2444,1880,11
"952","Robert","M",2415,1880,12
"953","Edward","M",2364,1880,13
"954","Harry","M",2152,1880,14
"3","Emma","F",2003,1880,15
"4","Elizabeth","F",1939,1880,16
"955","Walter","M",1755,1880,17
"5","Minnie","F",1746,1880,18
"956","Arthur","M",1599,1880,19
"6","Margaret","F",1578,1880,20
"957","Fred","M",1569,1880,21
"958","Albert","M",1493,1880,22
"7","Ida","F",1472,1880,23
"8","Alice","F",1414,1880,24
"9","Bertha","F",1320,1880,25
"10","Sarah","F",1288,1880,26
"11","Annie","F",1258,1880,27
"12","Clara","F",1226,1880,28
"13","Ella","F",1156,1880,29
"14","Florence","F",1063,1880,30
"15","Cora","F",1045,1880,31
"16","Martha","F",1040,1880,32
"959","Samuel","M",1024,1880,33
"17","Laura","F",1012,1880,34
"18","Nellie","F",995,1880,35
"19","Grace","F",982,1880,36
"20","Carrie","F",949,1880,37
"960","David","M",869,1880,38
"21","Maude","F",859,1880,39
"961","Louis","M",828,1880,40
"22","Mabel","F",808,1880,41
"23","Bessie","F",796,1880,42
"24","Jennie","F",793,1880,43
"25","Gertrude","F",787,1880,44
"26","Julia","F",783,1880,45
"27","Hattie","F",769,1880,46
"28","Edith","F",768,1880,47
"962","Joe","M",731,1880,48
"963","Charlie","M",730,1880,49
"964","Clarence","M",730,1880,50
"965","Richard","M",728,1880,51
"29","Mattie","F",704,1880,52
"30","Rose","F",700,1880,53
"31","Catherine","F",688,1880,54
"32","Lillian","F",672,1880,55
"33","Ada","F",652,1880,56
"34","Lillie","F",647,1880,57
"966","Andrew","M",644,1880,58
"967","Daniel","M",643,1880,59
"35","Helen","F",636,1880,60
"36","Jessie","F",635,1880,61
"37","Louise","F",635,1880,62
"38","Ethel","F",633,1880,63
"39","Lula","F",621,1880,64
"40","Myrtle","F",615,1880,65
"968","Ernest","M",615,1880,66
"41","Eva","F",614,1880,67
"42","Frances","F",605,1880,68
"43","Lena","F",603,1880,69
"44","Lucy","F",590,1880,70
"45","Edna","F",588,1880,71
"969","Will","M",588,1880,72
"46","Maggie","F",582,1880,73
"47","Pearl","F",569,1880,74
"970","Jesse","M",569,1880,75
"48","Daisy","F",564,1880,76
"49","Fannie","F",560,1880,77
"50","Josephine","F",544,1880,78
"971","Oscar","M",544,1880,79
"51","Dora","F",524,1880,80
"972","Lewis","M",517,1880,81
"52","Rosa","F",507,1880,82
"53","Katherine","F",502,1880,83
"973","Peter","M",496,1880,84
"974","Benjamin","M",490,1880,85
"975","Frederick","M",483,1880,86
"976","Willie","M",476,1880,87
"54","Agnes","F",473,1880,88
"55","Marie","F",471,1880,89
"56","Nora","F",471,1880,90
"977","Alfred","M",469,1880,91
"57","May","F",462,1880,92
"978","Sam","M",457,1880,93
"979","Roy","M",440,1880,94
