"","name","sex","total"
"1","Jacob","M",454626
"2","Michael","M",414359
"3","Emma","F",407258
"4","William","M",378817
"5","Olivia","F",375754
"6","Ethan","M",369083
"7","Noah","M",363640
"8","Matthew","M",362025
"9","Daniel","M",356107
"10","Emily","F",354681
"11","Joshua","M",349504
"12","Isabella","F",343238
"13","Alexander","M",340341
"14","James","M",327316
"15","Joseph","M",326823
"16","Sophia","F",325717
"17","Andrew","M",319037
"18","Anthony","M",317595
"19","Christopher","M",317287
"20","David","M",312542
"21","Madison","F",303657
"22","Benjamin","M",295605
"23","Ava","F",286136
"24","Abigail","F",284277
"25","John","M",279991
"26","Logan","M",278634
"27","Ryan","M",274140
"28","Elijah","M",273038
"29","Mason","M",267313
"30","Samuel","M",263543
"31","Liam","M",258778
"32","Nicholas","M",252181
"33","Dylan","M",249939
"34","Elizabeth","F",241856
"35","Gabriel","M",239580
"36","Christian","M",236085
"37","Mia","F",234744
"38","Nathan","M",233847
"39","Jonathan","M",233698
"40","Tyler","M",230041
"41","Aiden","M",229853
"42","Hannah","F",229633
"43","Jackson","M",228895
"44","Jayden","M",228492
"45","Lucas","M",212357
"46","Caleb","M",208162
"47","Brandon","M",201445
"48","Jack","M",199547
"49","Isaac","M",199157
"50","Luke","M",199086
"51","Samantha","F",196704
"52","Grace","F",194727
"53","Chloe","F",194108
"54","Zachary","M",191112
"55","Thomas","M",185053
"56","Isaiah","M",180587
"57","Austin","M",179537
"58","Jose","M",178661
"59","Hunter","M",178545
"60","Robert","M",177958
"61","Sarah","F",176882
"62","Jordan","M",173759
"63","Ashley","F",173720
"64","Alexis","F",173107
"65","Justin","M",172936
"66","Cameron","M",172145
"67","Natalie","F",171450
"68","Owen","M",170270
"69","Ella","F",167658
"70","Aaron","M",167238
"71","Kevin","M",166784
"72","Angel","M",166356
"73","Victoria","F",165836
"74","Evan","M",163443
"75","Connor","M",162344
"76","Carter","M",162162
"77","Sebastian","M",158309
"78","Charles","M",157423
"79","Henry","M",157280
"80","Gavin","M",155516
"81","Wyatt","M",155147
"82","Alyssa","F",155123
"83","Julian","M",154977
"84","Charlotte","F",152987
"85","Amelia","F",152708
"86","Landon","M",149702
"87","Anna","F",147988
"88","Oliver","M",147838
"89","Evelyn","F",146549
"90","Jason","M",145003
"91","Taylor","F",142426
"92","Adrian","M",142424
"93","Brianna","F",140099
"94","Sofia","F",139609
"95","Avery","F",138055
"96","Hailey","F",136040
"97","Lily","F",135199
"98","Addison","F",131269
"99","Jeremiah","M",131018
